Emp ID,First Name,Last Name,DOB,SSN,State
214,Sarah,Simpson,1985-12-04,XXXXX8166     ,FL
15,Samantha,Lara,1993-09-08,XXXXX7526     ,CO
411,Stacy,Charles,1957-12-20,XXXXX8526     ,PA
166,Michelle,Roy,1978-07-29,XXXXX3944     ,MI
39,Joseph,Rogers,1985-03-28,XXXXX3515     ,MN
423,Erica,Hines,1975-10-13,XXXXX6153     ,NY
192,Zoe,Patel,1967-12-20,XXXXX0817     ,WI
162,Matthew,Harvey,1990-01-20,XXXXX0346     ,TN
131,Shawn,Davis,1961-07-21,XXXXX1581     ,WV
20,April,Baldwin,1961-08-07,XXXXX2014     ,MO
246,Vincent,Daniels,1972-01-06,XXXXX2754     ,MT
525,Ann,Fields,1960-08-22,XXXXX7911     ,IA
392,Jeffrey,Pearson,1979-05-05,XXXXX2578     ,IL
474,Heather,Johnson,1989-09-23,XXXXX0904     ,GA
478,Melissa,Fletcher,1979-03-14,XXXXX6881     ,RI
101,Kimberly,Alvarez,1984-09-04,XXXXX8680     ,LA
52,Monica,Jimenez,1988-04-08,XXXXX1668     ,ND
182,Steven,Johnson,1962-05-28,XXXXX7070     ,NE
637,Sarah,Wood,1972-06-15,XXXXX6715     ,FL
510,Jesus,Petersen,1958-03-28,XXXXX0770     ,OK
122,Rhonda,Rosales,1963-04-10,XXXXX0286     ,AL
294,Nicole,Richardson,1981-09-09,XXXXX5228     ,LA
327,Jennifer,Mendez,1977-07-20,XXXXX1994     ,OR
145,Sandra,Petty,1981-01-30,XXXXX7629     ,NC
565,Michael,Hester,1987-04-13,XXXXX6836     ,SD
590,Joseph,Brown,1982-08-28,XXXXX4744     ,NH
340,Michelle,Cooper,1993-08-23,XXXXX2306     ,WA
176,Barbara,Wise,1991-12-15,XXXXX7662     ,IN
63,Carol,Rosales,1984-07-20,XXXXX4907     ,NJ
121,Mark,Villa,1969-02-24,XXXXX2207     ,MS
70,Russell,Orozco,1973-09-16,XXXXX5514     ,MS
446,Michelle,Sanchez,1994-08-21,XXXXX5222     ,OK
156,Briana,Ayala,1965-10-31,XXXXX4542     ,CT
343,Shane,Roberts,1958-12-14,XXXXX6030     ,HI
599,Cassandra,Morris,1973-01-24,XXXXX3831     ,MT
102,Krista,Thompson,1984-07-25,XXXXX7445     ,KY
377,Jon,Bennett,1957-09-13,XXXXX1689     ,NM
240,April,Thomas,1993-12-03,XXXXX3580     ,CO
455,Haley,Martinez,1968-01-15,XXXXX3736     ,ID
